,precision,recall,f1-score,support
Alterations / Improvements,0.35714285714285715,0.3333333333333333,0.3448275862068966,15.0
Assignment / Subletting,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0
Confidentiality,0.0,0.0,0.0,1.0
Dispute Resolution,0.75,0.375,0.5,8.0
General Obligation,0.25,0.13043478260869565,0.17142857142857143,23.0
Governing Law,0.0,0.0,0.0,0.0
Insurance,0.8571428571428571,0.631578947368421,0.7272727272727273,19.0
Lease Grant,0.1724137931034483,1.0,0.29411764705882354,5.0
Liability / Indemnity,0.5454545454545454,0.5,0.5217391304347826,12.0
Notice,0.8888888888888888,0.24242424242424243,0.38095238095238093,33.0
Other / Unknown,0.21621621621621623,0.5714285714285714,0.3137254901960784,14.0
Payment / Rent,0.7222222222222222,0.34210526315789475,0.4642857142857143,38.0
Possession / Surrender,0.4666666666666667,0.5833333333333334,0.5185185185185185,12.0
Property / Premises,0.15789473684210525,1.0,0.2727272727272727,3.0
Quiet Enjoyment,0.16666666666666666,0.6666666666666666,0.26666666666666666,3.0
Repairs / Maintenance,0.7083333333333334,0.5862068965517241,0.6415094339622641,29.0
Signature / Execution,0.0,0.0,0.0,8.0
Taxes / Utilities,0.5714285714285714,0.7272727272727273,0.64,11.0
Term and Renewal,0.38461538461538464,0.29411764705882354,0.3333333333333333,17.0
Termination / Default,0.5476190476190477,0.6571428571428571,0.5974025974025974,35.0
Use of Premises,0.5,0.5909090909090909,0.5416666666666666,22.0
Warranties / Representations,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
accuracy,0.4696969696969697,0.4696969696969697,0.4696969696969697,0.4696969696969697
macro avg,0.44720288014092663,0.4748013442241634,0.4044018365354527,330.0
weighted avg,0.5713016989237909,0.4696969696969697,0.47539784343258185,330.0
