,precision,recall,f1-score,support
Alterations / Improvements,0.35294117647058826,0.4,0.375,15.0
Assignment / Subletting,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0
Confidentiality,0.0,0.0,0.0,1.0
Dispute Resolution,0.75,0.375,0.5,8.0
General Obligation,0.375,0.13043478260869565,0.1935483870967742,23.0
Governing Law,0.0,0.0,0.0,0.0
Insurance,0.8571428571428571,0.631578947368421,0.7272727272727273,19.0
Lease Grant,0.14285714285714285,0.8,0.24242424242424243,5.0
Liability / Indemnity,0.6,0.5,0.5454545454545454,12.0
Notice,0.8888888888888888,0.24242424242424243,0.38095238095238093,33.0
Other / Unknown,0.23529411764705882,0.5714285714285714,0.3333333333333333,14.0
Payment / Rent,0.6666666666666666,0.2631578947368421,0.37735849056603776,38.0
Possession / Surrender,0.875,0.5833333333333334,0.7,12.0
Property / Premises,0.23076923076923078,1.0,0.375,3.0
Quiet Enjoyment,0.13333333333333333,0.6666666666666666,0.2222222222222222,3.0
Repairs / Maintenance,0.6578947368421053,0.8620689655172413,0.746268656716418,29.0
Signature / Execution,0.0,0.0,0.0,8.0
Taxes / Utilities,0.5714285714285714,0.7272727272727273,0.64,11.0
Term and Renewal,0.42105263157894735,0.47058823529411764,0.4444444444444444,17.0
Termination / Default,0.5681818181818182,0.7142857142857143,0.6329113924050633,35.0
Use of Premises,0.5652173913043478,0.5909090909090909,0.5777777777777777,22.0
Warranties / Representations,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.47579209722132415,0.4883101993418581,0.4263925121514834,330.0
weighted avg,0.5949518003251835,0.5,0.4974407418309336,330.0
