Actual class,Alterations / Improvements,Assignment / Subletting,Confidentiality,Dispute Resolution,General Obligation,Governing Law,Insurance,Lease Grant,Liability / Indemnity,Notice,Other / Unknown,Payment / Rent,Possession / Surrender,Property / Premises,Quiet Enjoyment,Repairs / Maintenance,Signature / Execution,Taxes / Utilities,Term and Renewal,Termination / Default,Use of Premises,Warranties / Representations
Alterations / Improvements,6,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,3,0
Assignment / Subletting,0,10,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Confidentiality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dispute Resolution,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
General Obligation,0,0,0,1,3,0,0,3,0,1,9,1,0,0,0,1,0,0,0,4,0,0
Governing Law,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insurance,1,0,0,0,2,0,12,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
Lease Grant,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Liability / Indemnity,0,0,0,0,1,0,0,1,6,0,2,1,0,1,0,0,0,0,0,0,0,0
Notice,0,0,0,0,0,0,1,1,0,8,1,2,0,2,3,5,0,0,4,5,1,0
Other / Unknown,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,0,2,1
Payment / Rent,1,1,0,0,0,0,0,2,0,0,1,10,0,2,2,3,0,6,4,5,1,0
Possession / Surrender,1,0,0,0,0,0,0,2,0,0,0,0,7,0,1,0,0,0,0,0,1,0
Property / Premises,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Quiet Enjoyment,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Repairs / Maintenance,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,25,0,0,0,1,0,0
Signature / Execution,1,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,1,0,0,0
Taxes / Utilities,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,0,0,0,0
Term and Renewal,2,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,8,2,0,0
Termination / Default,1,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,25,2,1
Use of Premises,2,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,13,0
Warranties / Representations,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,4
