,precision,recall,f1-score,support
Alterations / Improvements,0.375,0.4,0.3870967741935484,15.0
Assignment / Subletting,0.9166666666666666,0.8461538461538461,0.88,13.0
Confidentiality,0.0,0.0,0.0,1.0
Dispute Resolution,0.6,0.375,0.46153846153846156,8.0
General Obligation,0.42857142857142855,0.13043478260869565,0.2,23.0
Governing Law,0.0,0.0,0.0,0.0
Insurance,0.8571428571428571,0.631578947368421,0.7272727272727273,19.0
Lease Grant,0.18181818181818182,0.8,0.2962962962962963,5.0
Liability / Indemnity,0.6,0.5,0.5454545454545454,12.0
Notice,0.8888888888888888,0.24242424242424243,0.38095238095238093,33.0
Other / Unknown,0.24242424242424243,0.5714285714285714,0.3404255319148936,14.0
Payment / Rent,0.7391304347826086,0.4473684210526316,0.5573770491803278,38.0
Possession / Surrender,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0
Property / Premises,0.2727272727272727,1.0,0.42857142857142855,3.0
Quiet Enjoyment,0.13333333333333333,0.6666666666666666,0.2222222222222222,3.0
Repairs / Maintenance,0.6944444444444444,0.8620689655172413,0.7692307692307693,29.0
Signature / Execution,0.0,0.0,0.0,8.0
Taxes / Utilities,0.5714285714285714,0.7272727272727273,0.64,11.0
Term and Renewal,0.5,0.6470588235294118,0.5641025641025641,17.0
Termination / Default,0.5952380952380952,0.7142857142857143,0.6493506493506493,35.0
Use of Premises,0.5909090909090909,0.5909090909090909,0.5909090909090909,22.0
Warranties / Representations,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
accuracy,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
macro avg,0.4832803614918239,0.5082012989543199,0.44730911323590483,330.0
weighted avg,0.6142948352335704,0.5333333333333333,0.5312687291348723,330.0
