clause_type,precision_without_phase5,precision_with_phase5,precision_change,recall_without_phase5,recall_with_phase5,recall_change,f1_without_phase5,f1_with_phase5,f1_change,support
Alterations / Improvements,0.35714285714285715,0.35294117647058826,-0.004201680672268893,0.3333333333333333,0.4,0.06666666666666671,0.3448275862068966,0.375,0.030172413793103425,15.0
Assignment / Subletting,0.9090909090909091,0.9090909090909091,0.0,0.7692307692307693,0.7692307692307693,0.0,0.8333333333333334,0.8333333333333334,0.0,13.0
Confidentiality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dispute Resolution,0.75,0.75,0.0,0.375,0.375,0.0,0.5,0.5,0.0,8.0
General Obligation,0.25,0.375,0.125,0.13043478260869565,0.13043478260869565,0.0,0.17142857142857143,0.1935483870967742,0.022119815668202758,23.0
Governing Law,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insurance,0.8571428571428571,0.8571428571428571,0.0,0.631578947368421,0.631578947368421,0.0,0.7272727272727273,0.7272727272727273,0.0,19.0
Lease Grant,0.1724137931034483,0.14285714285714285,-0.029556650246305438,1.0,0.8,-0.19999999999999996,0.29411764705882354,0.24242424242424243,-0.05169340463458111,5.0
Liability / Indemnity,0.5454545454545454,0.6,0.054545454545454564,0.5,0.5,0.0,0.5217391304347826,0.5454545454545454,0.02371541501976282,12.0
Notice,0.8888888888888888,0.8888888888888888,0.0,0.24242424242424243,0.24242424242424243,0.0,0.38095238095238093,0.38095238095238093,0.0,33.0
Other / Unknown,0.21621621621621623,0.23529411764705882,0.019077901430842592,0.5714285714285714,0.5714285714285714,0.0,0.3137254901960784,0.3333333333333333,0.019607843137254888,14.0
Payment / Rent,0.7222222222222222,0.6666666666666666,-0.05555555555555558,0.34210526315789475,0.2631578947368421,-0.07894736842105265,0.4642857142857143,0.37735849056603776,-0.08692722371967654,38.0
Possession / Surrender,0.4666666666666667,0.875,0.4083333333333333,0.5833333333333334,0.5833333333333334,0.0,0.5185185185185185,0.7,0.18148148148148147,12.0
Property / Premises,0.15789473684210525,0.23076923076923078,0.07287449392712553,1.0,1.0,0.0,0.2727272727272727,0.375,0.10227272727272729,3.0
Quiet Enjoyment,0.16666666666666666,0.13333333333333333,-0.033333333333333326,0.6666666666666666,0.6666666666666666,0.0,0.26666666666666666,0.2222222222222222,-0.04444444444444445,3.0
Repairs / Maintenance,0.7083333333333334,0.6578947368421053,-0.05043859649122806,0.5862068965517241,0.8620689655172413,0.27586206896551724,0.6415094339622641,0.746268656716418,0.10475922275415384,29.0
Signature / Execution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Taxes / Utilities,0.5714285714285714,0.5714285714285714,0.0,0.7272727272727273,0.7272727272727273,0.0,0.64,0.64,0.0,11.0
Term and Renewal,0.38461538461538464,0.42105263157894735,0.03643724696356271,0.29411764705882354,0.47058823529411764,0.1764705882352941,0.3333333333333333,0.4444444444444444,0.1111111111111111,17.0
Termination / Default,0.5476190476190477,0.5681818181818182,0.02056277056277056,0.6571428571428571,0.7142857142857143,0.05714285714285716,0.5974025974025974,0.6329113924050633,0.035508795002465954,35.0
Use of Premises,0.5,0.5652173913043478,0.06521739130434778,0.5909090909090909,0.5909090909090909,0.0,0.5416666666666666,0.5777777777777777,0.036111111111111094,22.0
Warranties / Representations,0.6666666666666666,0.6666666666666666,0.0,0.4444444444444444,0.4444444444444444,0.0,0.5333333333333333,0.5333333333333333,0.0,9.0
